plan_id,sku_id,planned_date,planned_quantity,actual_produced_quantity,machine_id
PLAN-00000001,SKU-FLO-000,2023-01-01,37140,37898,M4
PLAN-00000002,SKU-FLO-000,2023-01-08,34812,33644,M6
PLAN-00000003,SKU-FLO-000,2023-01-15,36867,38501,M5
PLAN-00000004,SKU-FLO-000,2023-01-22,39054,38561,M4
PLAN-00000005,SKU-FLO-000,2023-01-29,34104,37657,M3
PLAN-00000006,SKU-FLO-000,2023-02-05,36110,41789,M1
PLAN-00000007,SKU-FLO-000,2023-02-12,38294,36839,M3
PLAN-00000008,SKU-FLO-000,2023-02-19,33532,30774,M3
PLAN-00000009,SKU-FLO-000,2023-02-26,36277,34992,M6
PLAN-00000010,SKU-FLO-000,2023-03-05,35909,34272,M3
PLAN-00000011,SKU-FLO-000,2023-03-12,36616,34361,M1
PLAN-00000012,SKU-FLO-000,2023-03-19,43353,42834,M3
PLAN-00000013,SKU-FLO-000,2023-03-26,46125,42181,M3
PLAN-00000014,SKU-FLO-000,2023-04-02,47165,48407,M6
PLAN-00000015,SKU-FLO-000,2023-04-09,51154,46667,M2
PLAN-00000016,SKU-FLO-000,2023-04-16,48754,62557,M5
PLAN-00000017,SKU-FLO-000,2023-04-23,37617,41591,M3
PLAN-00000018,SKU-FLO-000,2023-04-30,30870,32901,M2
PLAN-00000019,SKU-FLO-000,2023-05-07,35627,35675,M6
PLAN-00000020,SKU-FLO-000,2023-05-14,34080,30293,M4
PLAN-00000021,SKU-FLO-000,2023-05-21,32638,28250,M4
PLAN-00000022,SKU-FLO-000,2023-05-28,37541,34004,M6
PLAN-00000023,SKU-FLO-000,2023-06-04,35065,36204,M1
PLAN-00000024,SKU-FLO-000,2023-06-11,36720,33863,M5
PLAN-00000025,SKU-FLO-000,2023-06-18,39184,36106,M5
PLAN-00000026,SKU-FLO-000,2023-06-25,36972,36163,M1
PLAN-00000027,SKU-FLO-000,2023-07-02,37671,39358,M6
PLAN-00000028,SKU-FLO-000,2023-07-09,31845,33306,M3
PLAN-00000029,SKU-FLO-000,2023-07-16,35226,28959,M1
PLAN-00000030,SKU-FLO-000,2023-07-23,31757,35647,M1
PLAN-00000031,SKU-FLO-000,2023-07-30,38415,35526,M3
PLAN-00000032,SKU-FLO-000,2023-08-06,36367,32057,M1
PLAN-00000033,SKU-FLO-000,2023-08-13,37994,40144,M2
PLAN-00000034,SKU-FLO-000,2023-08-20,38874,42604,M4
PLAN-00000035,SKU-FLO-000,2023-08-27,38421,37500,M6
PLAN-00000036,SKU-FLO-000,2023-09-03,40477,38769,M5
PLAN-00000037,SKU-FLO-000,2023-09-10,40595,40500,M6
PLAN-00000038,SKU-FLO-000,2023-09-17,34605,36109,M4
PLAN-00000039,SKU-FLO-000,2023-09-24,36316,37020,M2
PLAN-00000040,SKU-FLO-000,2023-10-01,35912,34410,M4
PLAN-00000041,SKU-FLO-000,2023-10-08,37429,39593,M5
PLAN-00000042,SKU-FLO-000,2023-10-15,36292,37620,M3
PLAN-00000043,SKU-FLO-000,2023-10-22,37614,34682,M5
PLAN-00000044,SKU-FLO-000,2023-10-29,36737,38304,M4
PLAN-00000045,SKU-FLO-000,2023-11-05,40975,42694,M1
PLAN-00000046,SKU-FLO-000,2023-11-12,37491,33615,M3
PLAN-00000047,SKU-FLO-000,2023-11-19,37615,38663,M2
PLAN-00000048,SKU-FLO-000,2023-11-26,37451,36635,M3
PLAN-00000049,SKU-FLO-000,2023-12-03,34178,33805,M1
PLAN-00000050,SKU-FLO-000,2023-12-10,32742,34006,M4
PLAN-00000051,SKU-FLO-000,2023-12-17,35500,34012,M6
PLAN-00000052,SKU-FLO-000,2023-12-24,35140,29813,M5
PLAN-00000053,SKU-FLO-000,2023-12-31,35741,36836,M6
PLAN-00000054,SKU-FLO-000,2024-01-07,35103,32079,M5
PLAN-00000055,SKU-FLO-000,2024-01-14,36169,36453,M1
PLAN-00000056,SKU-FLO-000,2024-01-21,39963,43567,M3
PLAN-00000057,SKU-FLO-000,2024-01-28,40324,43400,M2
PLAN-00000058,SKU-FLO-000,2024-02-04,37827,36391,M1
PLAN-00000059,SKU-FLO-000,2024-02-11,37921,32114,M4
PLAN-00000060,SKU-FLO-000,2024-02-18,34394,31705,M4
PLAN-00000061,SKU-FLO-000,2024-02-25,35473,41198,M6
PLAN-00000062,SKU-FLO-000,2024-03-03,38086,35266,M5
PLAN-00000063,SKU-FLO-000,2024-03-10,42427,45768,M1
PLAN-00000064,SKU-FLO-000,2024-03-17,49975,51939,M4
PLAN-00000065,SKU-FLO-000,2024-03-24,49517,50022,M6
PLAN-00000066,SKU-FLO-000,2024-03-31,51366,48256,M1
PLAN-00000067,SKU-FLO-000,2024-04-07,44927,43750,M1
PLAN-00000068,SKU-FLO-000,2024-04-14,39128,36755,M4
PLAN-00000069,SKU-FLO-000,2024-04-21,32650,35105,M5
PLAN-00000070,SKU-FLO-000,2024-04-28,36495,32166,M1
PLAN-00000071,SKU-FLO-000,2024-05-05,38676,39601,M3
PLAN-00000072,SKU-FLO-000,2024-05-12,36302,35310,M2
PLAN-00000073,SKU-FLO-000,2024-05-19,36992,42188,M4
PLAN-00000074,SKU-FLO-000,2024-05-26,38091,33618,M3
PLAN-00000075,SKU-FLO-000,2024-06-02,37263,43044,M5
PLAN-00000076,SKU-FLO-000,2024-06-09,38268,40598,M4
PLAN-00000077,SKU-FLO-000,2024-06-16,39817,38527,M2
PLAN-00000078,SKU-FLO-000,2024-06-23,38857,38792,M6
PLAN-00000079,SKU-FLO-000,2024-06-30,38499,37210,M2
PLAN-00000080,SKU-FLO-000,2024-07-07,41496,46240,M5
PLAN-00000081,SKU-FLO-000,2024-07-14,39072,36853,M6
PLAN-00000082,SKU-FLO-000,2024-07-21,35785,40157,M6
