po_id,supplier_id,material_id,order_date,expected_delivery_date,actual_delivery_date,quantity_kg,status
PO-00000001,SUP-AUS-01,RM-WHT-102,2025-03-08,2025-04-02,2025-04-02,9012.23,Delivered
PO-00000002,SUP-AUS-01,RM-WHT-071,2023-08-28,2023-09-22,2023-09-22,8726.94,Delivered
PO-00000003,SUP-UKR-01,RM-WHT-121,2024-01-26,2024-02-17,2024-02-17,10308.0,Delivered
PO-00000004,SUP-KSA-02,RM-ADTV-210,2023-03-20,2023-03-29,2023-03-29,808.91,Delivered
PO-00000005,SUP-KSA-02,RM-ADTV-151,2023-10-31,2023-11-09,2023-11-09,592.05,Delivered
PO-00000006,SUP-UKR-01,RM-WHT-149,2023-04-13,2023-05-05,2023-05-05,12461.45,Delivered
PO-00000007,SUP-AUS-01,RM-WHT-087,2023-11-23,2023-12-18,2023-12-18,39206.67,Delivered
PO-00000008,SUP-KSA-04,RM-ADTV-235,2023-10-28,2023-11-08,2023-11-08,316.03,Delivered
PO-00000009,SUP-KSA-02,RM-ADTV-187,2023-02-03,2023-02-12,2023-02-12,595.13,Delivered
PO-00000010,SUP-IND-01,RM-WHT-020,2023-02-28,2023-03-18,2023-03-18,36700.43,Delivered
PO-00000011,SUP-KSA-02,RM-ADTV-203,2024-08-06,2024-08-15,2024-08-15,568.87,Delivered
PO-00000012,SUP-UKR-01,RM-WHT-021,2024-03-27,2024-04-18,2024-04-18,6713.93,Delivered
PO-00000013,SUP-IND-01,RM-WHT-088,2024-09-11,2024-09-29,2024-09-29,14225.62,Delivered
PO-00000014,SUP-AUS-01,RM-WHT-048,2024-07-21,2024-08-15,2024-08-15,3631.81,Delivered
PO-00000015,SUP-KSA-03,RM-ADTV-219,2025-04-01,2025-04-11,2025-04-11,2331.26,Delivered
PO-00000016,SUP-KSA-04,RM-ADTV-187,2023-04-08,2023-04-19,2023-04-19,993.32,Delivered
PO-00000017,SUP-KSA-03,RM-ADTV-189,2023-07-06,2023-07-16,2023-07-16,3706.39,Delivered
PO-00000018,SUP-AUS-01,RM-WHT-050,2023-03-13,2023-04-07,2023-04-07,6844.45,Delivered
PO-00000019,SUP-UKR-01,RM-WHT-063,2024-10-18,2024-11-09,2024-11-09,29722.61,Delivered
PO-00000020,SUP-IND-01,RM-WHT-134,2023-12-10,2023-12-28,2023-12-28,6307.87,Delivered
PO-00000021,SUP-KSA-03,RM-ADTV-166,2024-11-06,2024-11-16,2024-11-16,1590.93,Delivered
PO-00000022,SUP-AUS-01,RM-WHT-131,2024-05-26,2024-06-20,2024-06-20,13918.04,Delivered
PO-00000023,SUP-AUS-01,RM-WHT-008,2023-08-06,2023-08-31,2023-08-31,19470.43,Delivered
PO-00000024,SUP-UKR-01,RM-WHT-052,2023-07-14,2023-08-05,2023-08-05,41457.11,Delivered
PO-00000025,SUP-UKR-01,RM-WHT-129,2023-03-31,2023-04-22,2023-04-22,14479.11,Delivered
PO-00000026,SUP-IND-01,RM-WHT-091,2023-10-11,2023-10-29,2023-10-29,19314.12,Delivered
PO-00000027,SUP-IND-01,RM-WHT-007,2024-03-09,2024-03-27,2024-03-27,33093.45,Delivered
PO-00000028,SUP-KSA-03,RM-ADTV-174,2023-01-20,2023-01-30,2023-01-30,832.39,Delivered
PO-00000029,SUP-AUS-01,RM-WHT-080,2023-11-14,2023-12-09,2023-12-09,25155.16,Delivered
PO-00000030,SUP-IND-01,RM-WHT-103,2023-10-29,2023-11-16,2023-11-16,16602.88,Delivered
PO-00000031,SUP-AUS-01,RM-WHT-131,2024-12-03,2024-12-28,2024-12-28,20806.33,Delivered
PO-00000032,SUP-IND-01,RM-WHT-001,2024-11-06,2024-11-24,2024-11-24,13440.62,Delivered
PO-00000033,SUP-IND-01,RM-WHT-105,2023-11-18,2023-12-06,2023-12-06,35012.51,Delivered
PO-00000034,SUP-KSA-03,RM-ADTV-190,2023-05-25,2023-06-04,2023-06-04,1719.07,Delivered
PO-00000035,SUP-KSA-02,RM-ADTV-189,2024-07-14,2024-07-23,2024-07-23,4012.58,Delivered
PO-00000036,SUP-IND-01,RM-WHT-014,2024-08-26,2024-09-13,2024-09-13,13544.94,Delivered
PO-00000037,SUP-KSA-04,RM-ADTV-199,2023-10-18,2023-10-29,2023-10-29,3013.13,Delivered
PO-00000038,SUP-UKR-01,RM-WHT-039,2023-12-03,2023-12-25,2023-12-25,6428.03,Delivered
PO-00000039,SUP-KSA-02,RM-ADTV-236,2024-07-08,2024-07-17,2024-07-17,500.83,Delivered
PO-00000040,SUP-IND-01,RM-WHT-023,2025-02-26,2025-03-16,2025-03-16,19553.26,Delivered
